"MethodCategory","Type","AvgCompressionRatio","MedianCompressionRatio","AvgCompressionTime","AvgCompressionGainPercent","Count"
"Bez linearizace","Právní dokumenty",1.497450643332,1.51544324107501,10.1522842639594,-49.7389511389936,197
"Bez linearizace","Próza",1.33270801466231,1.23935085533024,2311.11111111111,-32.1658243149823,45
"Bez linearizace","Technická dokumentace",1.43371122098229,1.46861538461538,11.0497237569061,-43.3691631542729,181
"Bez linearizace","Výzkumné články",1.42314653364727,1.47319130301065,0,-42.3081972318015,18
"S linearizací","Právní dokumenty",1.63488088840348,1.64350265486726,0,-63.481704237448,100
"S linearizací","Próza",1.19300855441589,1.16712144884801,0,-18.3264615196839,23
"S linearizací","Technická dokumentace",1.4674081294989,1.43175223444253,0,-46.7389374117311,96
"S linearizací","Výzkumné články",1.51289640629974,1.44219240650871,0,-51.2830041976109,9
NA,"Právní dokumenty",1.23887394381542,1.25572360820379,60,-23.8821116834911,100
NA,"Próza",1.04804794901679,1.05114235327731,11578.9473684211,-4.12288345550349,19
NA,"Technická dokumentace",1.16990295470382,1.16791744840525,139.784946236559,-16.9887663157203,93
NA,"Výzkumné články",1.21356887768151,1.19695238095238,0,-21.3514471531841,9
