"Dataset","Type","PočetSouborů","PrůměrnáVelikost","Min_CompRatio","Avg_CompRatio","Median_CompRatio","Max_CompRatio","Avg_CompTime","Avg_DecompTime","Avg_CompGain"
"Komprese bez linearizace","Beletrie",22,76825.6363636364,1.46388647483899,1.56920371173541,1.52886088526216,1.73929276611021,4727.27272727273,0,-55.6117333783492
"Komprese bez linearizace","Právní dokumenty",97,2269.67010309279,1.45919778699862,1.57360455676522,1.54904458598726,2.42286751361162,20.6185567010309,0,-57.3541706134472
"Komprese bez linearizace","Technická dokumentace",85,4475.56470588235,1.2439399112325,1.58393420812753,1.55966850828729,2.61675784624244,23.5294117647059,0,-58.391131882221
"Komprese bez linearizace","Výzkumné články",9,4360.33333333333,1.45180952380952,1.50849083558046,1.4930625377036,1.56566200215285,0,0,-50.842084465706
"Linearizace + RePair","Beletrie",23,76881.2608695652,1.08251862434942,1.19300855441589,1.16712144884801,1.37306937049205,0,0,-18.3264615196839
"Linearizace + RePair","Právní dokumenty",100,2795.93,0.909541842231586,1.63488088840348,1.64350265486726,2.18181818181818,0,0,-63.481704237448
"Linearizace + RePair","Technická dokumentace",96,6153.09375,0.935064935064935,1.4674081294989,1.43175223444253,2.40952380952381,0,0,-46.7389374117311
"Linearizace + RePair","Výzkumné články",9,4360.33333333333,1.32273140334934,1.51289640629974,1.44219240650871,1.89030612244898,0,0,-51.2830041976109
"Opt. komprese bez linearizace","Beletrie",23,76881.2608695652,1.01710719197231,1.10649473920108,1.09010693037466,1.23935085533024,0,0,-9.73930260219655
"Opt. komprese bez linearizace","Právní dokumenty",100,2795.93,0.854925596031788,1.42358134730179,1.4345778129404,1.82644628099174,0,0,-42.3521882487736
"Opt. komprese bez linearizace","Technická dokumentace",96,6153.09375,0.820779220779221,1.30070128444745,1.2805260346913,2.06666666666667,0,0,-30.0684616764022
"Opt. komprese bez linearizace","Výzkumné články",9,4360.33333333333,1.18642087498377,1.33780223171409,1.28803882386526,1.63265306122449,0,0,-33.7743099978969
"Opt. linearizace + RePair","Beletrie",19,71589.2105263158,0.97133526850508,1.04804794901679,1.05114235327731,1.1506352640078,11578.9473684211,0,-4.12288345550349
"Opt. linearizace + RePair","Právní dokumenty",100,2795.93,0.653634860525895,1.23887394381542,1.25572360820379,1.48760330578512,60,0,-23.8821116834911
"Opt. linearizace + RePair","Technická dokumentace",93,5832.08602150537,0.754592571264037,1.16990295470382,1.16791744840525,1.66666666666667,139.784946236559,0,-16.9887663157203
"Opt. linearizace + RePair","Výzkumné články",9,4360.33333333333,1.14903284434636,1.21356887768151,1.19695238095238,1.34948979591837,0,0,-21.3514471531841
